"Gene","AUC"
"ENSG00000249412",0.821428571428571
"ENSG00000249572",0.821428571428571
"ENSG00000250510",0.821428571428571
"ENSG00000250722",0.821428571428571
"ENSG00000257815",0.821428571428571
"ENSG00000259318",0.821428571428571
"ENSG00000259826",0.821428571428571
"ENSG00000260660",0.821428571428571
"ENSG00000260661",0.821428571428571
"ENSG00000260685",0.821428571428571
"ENSG00000261798",0.821428571428571
"ENSG00000262075",0.821428571428571
"ENSG00000262209",0.821428571428571
"ENSG00000262772",0.821428571428571
"ENSG00000266101",0.821428571428571
"ENSG00000267296",0.821428571428571
"ENSG00000268366",0.821428571428571
"ENSG00000271737",0.821428571428571
"ENSG00000272195",0.821428571428571
"ENSG00000272426",0.821428571428571
"ENSG00000274818",0.821428571428571
"ENSG00000275613",0.821428571428571
"ENSG00000276517",0.821428571428571
"ENSG00000276957",0.821428571428571
"ENSG00000277399",0.821428571428571
"ENSG00000277605",0.821428571428571
"ENSG00000277688",0.821428571428571
"ENSG00000279827",0.821428571428571
"ENSG00000283072",0.821428571428571
"ENSG00000283683",0.821428571428571
"ENSG00000283897",0.821428571428571
"ENSG00000287036",0.821428571428571
"ENSG00000287063",0.821428571428571
"ENSG00000288302",0.821428571428571
"ENSG00000288909",0.821428571428571
"ENSG00000289364",0.821428571428571
"ENSG00000289424",0.821428571428571
"ENSG00000290585",0.821428571428571
"ENSG00000290723",0.821428571428571
"ENSG00000290727",0.821428571428571
"ENSG00000291008",0.821428571428571
"ENSG00000293314",0.821428571428571
"ENSG00000295712",0.821428571428571
"ENSG00000295862",0.821428571428571
"ENSG00000295914",0.821428571428571
"ENSG00000296938",0.821428571428571
"ENSG00000298345",0.821428571428571
"ENSG00000300470",0.821428571428571
"ENSG00000300506",0.821428571428571
"ENSG00000302995",0.821428571428571
"ENSG00000303033",0.821428571428571
"ENSG00000303819",0.821428571428571
"ENSG00000305299",0.821428571428571
"ENSG00000306926",0.821428571428571
"ENSG00000306963",0.821428571428571
"ENSG00000307150",0.821428571428571
"ENSG00000124780",0.821428571428571
"ENSG00000169242",0.821428571428571
"ENSG00000185215",0.821428571428571
"ENSG00000259002",0.821428571428571
"ENSG00000286186",0.821428571428571
"ENSG00000289518",0.821428571428571
"ENSG00000289987",0.821428571428571
"ENSG00000267430",0.8125
"ENSG00000296515",0.8125
"ENSG00000002726",0.8125
"ENSG00000064195",0.8125
"ENSG00000119660",0.8125
"ENSG00000124216",0.8125
"ENSG00000130167",0.8125
"ENSG00000132518",0.8125
"ENSG00000136315",0.8125
"ENSG00000137573",0.8125
"ENSG00000138115",0.8125
"ENSG00000148926",0.8125
"ENSG00000170396",0.8125
"ENSG00000186832",0.8125
"ENSG00000188916",0.8125
"ENSG00000189068",0.8125
"ENSG00000196565",0.8125
"ENSG00000198128",0.8125
"ENSG00000206384",0.8125
"ENSG00000216819",0.8125
"ENSG00000230751",0.8125
