"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000515425.6",56.9117166739768,-24.1591934418493,2.60358884921517,-9.27918916580547,1.70773160517338e-20,8.71737213834828e-17
"ENST00000649042.2",648.573525161009,27.5662358720897,2.98044359956212,9.24903792044235,2.26522335387829e-20,1.10125451365475e-16
"ENST00000434296.3",42.8249173401481,-23.7678619790966,2.5754924607942,-9.22847274488519,2.74517992126312e-20,1.27392569864325e-16
"ENST00000452863.10",132.877447999993,-24.8401632573143,2.70673668216098,-9.17716282526698,4.42598753711098e-20,1.96461889402727e-16
"ENST00000631460.1",543.728895891089,27.3003873611625,2.98045185742739,9.15981490965168,5.198640603444e-20,2.21143672969754e-16
"ENST00000457780.3",109.930437349467,-23.7125945853802,2.59507741276667,-9.13752879537406,6.3895669917472e-20,2.60932025155379e-16
"ENST00000710875.1",110.508464465441,-23.8361506910258,2.61899273019606,-9.10126645874327,8.92845377961844e-20,3.50589473739456e-16
"ENST00000699075.1",446.662441759672,27.0447730864709,2.98046288325393,9.07401774349382,1.14707425682169e-19,4.33734267043322e-16
"ENST00000496046.5",35.0532234251002,-23.5013617591136,2.59286300044643,-9.06386560148655,1.25907522098469e-19,4.59081309057107e-16
"ENST00000389045.7",346.322241502108,26.6839688323697,2.98048099475817,8.95290688962599,3.46241889638668e-19,1.21892666340968e-15
"ENST00000223051.8",50.7932753542588,-24.0082755301888,2.68415375712468,-8.94444868013334,3.7381101479882e-19,1.27211626446186e-15
"ENST00000389576.4",40.310684730767,-23.6850419404639,2.65250597343465,-8.9293076726967,4.28683089869235e-19,1.41179169980709e-15
"ENST00000637923.2",319.769422206405,26.5768451878183,2.98048768591182,8.9169451407036,4.79326989605441e-19,1.48290698029661e-15
"ENST00000648970.1",362.794604217513,-26.6923521303456,2.99290281152555,-8.9185495858918,4.72434600698308e-19,1.48290698029661e-15
"ENST00000697467.1",316.328422371992,26.561348978337,2.98048859681767,8.9117431976412,5.02363837781399e-19,1.5084656261946e-15
"ENST00000657001.1",314.62250857666,26.5493470967951,2.98048906836841,8.90771497153279,5.2095122498417e-19,1.5195849546374e-15
"ENST00000546910.6",37.5409575047102,-23.588409187208,2.66062948109966,-8.86572495523079,7.6007890725334e-19,2.15552044106153e-15
"ENST00000674916.1",252.140403766552,26.2039321255093,2.98051100839356,8.79175820915108,1.4723737678248e-18,4.0626771642848e-15
"ENST00000376670.9",26.577365758247,-23.1272602030132,2.64461216414992,-8.74504795694579,2.2292094409993e-18,5.98912314368268e-15
"ENST00000369239.10",215.789105116646,26.0259182718002,2.98052952467593,8.7319780114005,2.5025688457379e-18,6.55114772225433e-15
"ENST00000698294.1",190.179845047863,25.8525095972179,2.98054683802312,8.67374713506092,4.18128262013791e-18,1.06719921634435e-14
"ENST00000415845.2",180.385216580245,25.7789446801339,2.98055480605998,8.64904232853591,5.1933398218454e-18,1.29317961568698e-14
"ENST00000534182.2",178.452516243947,25.7622321135067,2.9805559596951,8.64343178315704,5.454929555989e-18,1.3259764837133e-14
"ENST00000526913.5",178.108297502424,25.7529371910696,2.98055680541726,8.64031081181301,5.60602999058585e-18,1.33101492983461e-14
"ENST00000649749.1",172.982803345191,25.7173557310056,2.98056146132139,8.62835947680951,6.22382043538883e-18,1.44411022661398e-14
"ENST00000642908.1",21.5476188522406,-22.8450963997231,2.65197055405926,-8.61438539155537,7.03177846344463e-18,1.56064208406185e-14
"ENST00000461283.5",168.233671321017,25.6809194671199,2.98056564429559,8.61612275383694,6.92595035127336e-18,1.56064208406185e-14
"ENST00000368016.7",158.184563933093,25.5927251538288,2.98057631844886,8.58650221281622,8.96570883035031e-18,1.9475236417382e-14
"ENST00000398774.6",152.608537156149,25.5458140819803,2.98058301834307,8.5707440204707,1.02818565893503e-17,2.18688663495113e-14
"ENST00000704679.1",244.623189869653,25.5140975052473,2.98051437750811,8.5603000937639,1.1257410843698e-17,2.34551601074624e-14
"ENST00000373498.5",145.469726429826,25.475089107473,2.98059161830998,8.54699078900232,1.26339270768445e-17,2.57967103411257e-14
"ENST00000299927.4",143.524731257367,25.452200131082,2.98059446818513,8.53930328421354,1.35033530414608e-17,2.70313298443502e-14
"ENST00000355499.9",135.820969331224,25.3765194285446,2.98060509461787,8.51388178674437,1.68205496422972e-17,3.3024237973674e-14
"ENST00000602725.5",131.386453289,25.3353423119936,2.98061208644209,8.50004682838012,1.89514229346372e-17,3.65058041823757e-14
